产品1ID,产品2ID,关联度
ID26,ID56,0.0
ID26,ID72,0.0
ID26,ID54,0.0
ID26,ID33,0.0
ID26,ID27,0.0
ID26,ID51,0.0
ID26,ID12,0.0
ID26,ID67,0.0
ID26,ID6,0.0
ID26,ID9,0.0
ID26,ID65,0.0
ID26,ID40,0.0
ID26,ID31,6.05
ID26,ID89,0.0
ID26,ID49,0.0
ID26,ID80,0.0
ID26,ID5,3.98
ID26,ID57,0.0
ID26,ID88,0.0
ID26,ID25,0.0
ID26,ID11,0.0
ID26,ID45,5.15
ID26,ID59,0.0
ID26,ID71,0.0
ID26,ID63,0.0
ID26,ID15,6.25
ID26,ID8,0.0
ID26,ID75,0.0
ID26,ID32,0.0
ID26,ID36,5.05
ID26,ID58,0.0
ID26,ID78,0.0
ID26,ID84,0.0
ID26,ID66,2.5
ID26,ID50,0.0
ID26,ID38,0.0
ID26,ID77,0.0
ID26,ID16,0.0
ID26,ID39,0.0
ID26,ID62,0.0
ID26,ID42,0.0
ID26,ID74,0.0
ID26,ID17,0.0
ID26,ID70,0.0
ID26,ID85,0.0
ID26,ID23,7.21
ID26,ID3,0.0
ID26,ID24,6.55
ID26,ID79,0.0
ID26,ID19,0.0
ID26,ID48,8.05
ID26,ID37,0.0
ID26,ID87,0.0
ID26,ID46,0.0
ID26,ID10,6.15
ID26,ID86,0.0
ID26,ID61,0.0
ID26,ID82,0.0
ID26,ID90,0.0
ID26,ID13,0.0
ID26,ID18,0.0
ID26,ID41,0.0
ID26,ID81,0.0
ID26,ID7,0.0
ID26,ID14,6.25
ID26,ID52,0.0
ID26,ID68,0.0
ID26,ID76,0.0
ID26,ID53,0.0
ID26,ID20,3.44
ID26,ID4,3.32
ID26,ID22,0.0
ID26,ID47,0.0
ID26,ID44,0.0
ID26,ID55,0.0
ID26,ID43,0.0
ID26,ID1,0.0
ID26,ID21,0.0
ID26,ID2,0.0
ID26,ID60,0.0
ID26,ID35,3.81
ID26,ID30,7.47
ID26,ID69,0.0
ID26,ID73,0.0
ID26,ID28,0.0
ID26,ID64,0.0
ID26,ID34,0.0
ID26,ID83,0.0
ID26,ID29,3.47
ID56,ID72,0.0
ID56,ID54,0.0
ID56,ID33,0.0
ID56,ID27,0.0
ID56,ID51,0.0
ID56,ID12,0.0
ID56,ID67,0.0
ID56,ID6,0.0
ID56,ID9,0.0
ID56,ID65,5.32
ID56,ID40,0.0
ID56,ID31,0.0
ID56,ID89,0.0
ID56,ID49,0.0
ID56,ID80,0.0
ID56,ID5,0.0
ID56,ID57,6.82
ID56,ID26,0.0
ID56,ID88,0.0
ID56,ID25,0.0
ID56,ID11,0.0
ID56,ID45,0.0
ID56,ID59,0.0
ID56,ID71,0.0
ID56,ID63,0.0
ID56,ID15,0.0
ID56,ID8,0.0
ID56,ID75,0.0
ID56,ID32,0.0
ID56,ID36,0.0
ID56,ID58,0.0
ID56,ID78,0.0
ID56,ID84,0.0
ID56,ID66,0.0
ID56,ID50,0.0
ID56,ID38,0.0
ID56,ID77,0.0
ID56,ID16,0.0
ID56,ID39,0.0
ID56,ID62,0.0
ID56,ID42,0.0
ID56,ID74,0.0
ID56,ID17,0.0
ID56,ID70,0.0
ID56,ID85,0.0
ID56,ID23,0.0
ID56,ID3,0.0
ID56,ID24,0.0
ID56,ID79,0.0
ID56,ID19,0.0
ID56,ID48,0.0
ID56,ID37,0.0
ID56,ID87,0.0
ID56,ID46,0.0
ID56,ID10,0.0
ID56,ID86,0.0
ID56,ID61,0.0
ID56,ID82,0.0
ID56,ID90,0.0
ID56,ID13,0.0
ID56,ID18,0.0
ID56,ID41,0.0
ID56,ID81,0.0
ID56,ID7,0.0
ID56,ID14,0.0
ID56,ID52,0.0
ID56,ID68,0.0
ID56,ID76,0.0
ID56,ID53,0.0
ID56,ID20,0.0
ID56,ID4,0.0
ID56,ID22,0.0
ID56,ID47,0.0
ID56,ID44,0.0
ID56,ID55,0.0
ID56,ID43,0.0
ID56,ID1,0.0
ID56,ID21,0.0
ID56,ID2,0.0
ID56,ID60,0.0
ID56,ID35,0.0
ID56,ID30,0.0
ID56,ID69,0.0
ID56,ID73,0.0
ID56,ID28,0.0
ID56,ID64,0.0
ID56,ID34,0.0
ID56,ID83,0.0
ID56,ID29,0.0
ID72,ID54,0.0
ID72,ID33,0.0
ID72,ID27,0.0
ID72,ID51,0.0
ID72,ID12,0.0
ID72,ID67,0.0
ID72,ID6,0.0
ID72,ID9,0.0
ID72,ID65,0.0
ID72,ID40,0.0
ID72,ID31,0.0
ID72,ID89,0.0
ID72,ID49,0.0
ID72,ID80,0.0
ID72,ID5,0.0
ID72,ID57,0.0
ID72,ID26,0.0
ID72,ID88,0.0
ID72,ID25,0.0
ID72,ID11,0.0
ID72,ID45,0.0
ID72,ID59,0.0
ID72,ID71,0.0
ID72,ID63,8.32
ID72,ID15,0.0
ID72,ID8,0.0
ID72,ID75,0.0
ID72,ID56,0.0
ID72,ID32,0.0
ID72,ID36,0.0
ID72,ID58,0.0
ID72,ID78,0.0
ID72,ID84,12.22
ID72,ID66,0.0
ID72,ID50,0.0
ID72,ID38,0.0
ID72,ID77,0.0
ID72,ID16,0.0
ID72,ID39,0.0
